225  192  0 0 0   36   1   1
1	0.025	0.025	1.0				
1	0.0						
1	2	3					
2	0	3					
3	0	0					
4	2	1					
5	2	0					
6	5	1					
7	5	3					
8	1.75	3					
9	1.5	3					
10	1.25	3					
11	1	3					
12	0.75	3					
13	0.5	3					
14	0.25	3					
15	0	2.75					
16	0	2.5					
17	0	2.25					
18	0	2					
19	0	1.75					
20	0	1.5					
21	0	1.25					
22	0	1					
23	0	0.75					
24	0	0.5					
25	0	0.25					
26	0.25	0					
27	0.5	0					
28	0.75	0					
29	1	0					
30	1.25	0					
31	1.5	0					
32	1.75	0					
33	2	1.25					
34	2	1.5					
35	2	1.75					
36	2	2					
37	2	2.25					
38	2	2.5					
39	2	2.75					
40	2	0.25					
41	2	0.5					
42	2	0.75					
43	2.25	1					
44	2.5	1					
45	2.75	1					
46	3	1					
47	3.25	1					
48	3.5	1					
49	3.75	1					
50	4	1					
51	4.25	1					
52	4.5	1					
53	4.75	1					
54	5	1.25					
55	5	1.5					
56	5	1.75					
57	5	2					
58	5	2.25					
59	5	2.5					
60	5	2.75					
61	4.75	3					
62	4.5	3					
63	4.25	3					
64	4	3					
65	3.75	3					
66	3.5	3					
67	3.25	3					
68	3	3					
69	2.75	3					
70	2.5	3					
71	2.25	3					
72	1.75	2.75					
73	1.5	2.75					
74	1.25	2.75					
75	1	2.75					
76	0.75	2.75					
77	0.5	2.75					
78	0.25	2.75					
79	1.75	2.5					
80	1.5	2.5					
81	1.25	2.5					
82	1	2.5					
83	0.75	2.5					
84	0.5	2.5					
85	0.25	2.5					
86	1.75	2.25					
87	1.5	2.25					
88	1.25	2.25					
89	1	2.25					
90	0.75	2.25					
91	0.5	2.25					
92	0.25	2.25					
93	1.75	2					
94	1.5	2					
95	1.25	2					
96	1	2					
97	0.75	2					
98	0.5	2					
99	0.25	2					
100	1.75	1.75					
101	1.5	1.75					
102	1.25	1.75					
103	1	1.75					
104	0.75	1.75					
105	0.5	1.75					
106	0.25	1.75					
107	1.75	1.5					
108	1.5	1.5					
109	1.25	1.5					
110	1	1.5					
111	0.75	1.5					
112	0.5	1.5					
113	0.25	1.5					
114	1.75	1.25					
115	1.5	1.25					
116	1.25	1.25					
117	1	1.25					
118	0.75	1.25					
119	0.5	1.25					
120	0.25	1.25					
121	1.75	1					
122	1.5	1					
123	1.25	1					
124	1	1					
125	0.75	1					
126	0.5	1					
127	0.25	1					
128	1.75	0.75					
129	1.5	0.75					
130	1.25	0.75					
131	1	0.75					
132	0.75	0.75					
133	0.5	0.75					
134	0.25	0.75					
135	1.75	0.5					
136	1.5	0.5					
137	1.25	0.5					
138	1	0.5					
139	0.75	0.5					
140	0.5	0.5					
141	0.25	0.5					
142	1.75	0.25					
143	1.5	0.25					
144	1.25	0.25					
145	1	0.25					
146	0.75	0.25					
147	0.5	0.25					
148	0.25	0.25					
149	2.25	2.75					
150	2.25	2.5					
151	2.25	2.25					
152	2.25	2					
153	2.25	1.75					
154	2.25	1.5					
155	2.25	1.25					
156	2.5	2.75					
157	2.5	2.5					
158	2.5	2.25					
159	2.5	2					
160	2.5	1.75					
161	2.5	1.5					
162	2.5	1.25					
163	2.75	2.75					
164	2.75	2.5					
165	2.75	2.25					
166	2.75	2					
167	2.75	1.75					
168	2.75	1.5					
169	2.75	1.25					
170	3	2.75					
171	3	2.5					
172	3	2.25					
173	3	2					
174	3	1.75					
175	3	1.5					
176	3	1.25					
177	3.25	2.75					
178	3.25	2.5					
179	3.25	2.25					
180	3.25	2					
181	3.25	1.75					
182	3.25	1.5					
183	3.25	1.25					
184	3.5	2.75					
185	3.5	2.5					
186	3.5	2.25					
187	3.5	2					
188	3.5	1.75					
189	3.5	1.5					
190	3.5	1.25					
191	3.75	2.75					
192	3.75	2.5					
193	3.75	2.25					
194	3.75	2					
195	3.75	1.75					
196	3.75	1.5					
197	3.75	1.25					
198	4	2.75					
199	4	2.5					
200	4	2.25					
201	4	2					
202	4	1.75					
203	4	1.5					
204	4	1.25					
205	4.25	2.75					
