25 47 1 4 
0   0 
1   0
0   2
1   2
0   4
1   4
0   6
1   6
0   8
1   8
0  10
1  10
0  11
1  11
2   10
2  11
3  10
3  11
4  10
4  11
5  10
5  11
6  10
6  11
7  11
1   2    70000000000.0   27468.0 0.0002   0.000022  30.0
1   3    70000000000.0   27468.0 0.0002   0.000022  30.0
1   4    210000000000.0   76518.0  0.000013  0.0003  30.0  
2   4    70000000000.0   27468.0 0.0002   0.000022  30.0
3   4    70000000000.0   27468.0 0.0002   0.000022  30.0
3   5    70000000000.0   27468.0 0.0002   0.000022  30.0
3   6    210000000000.0   76518.0  0.000013  0.0003  30.0  
4   6   70000000000.0   27468.0 0.0002   0.000022  30.0 
5   6    70000000000.0   27468.0 0.0002   0.000022  30.0
5   7    70000000000.0   27468.0 0.0002   0.000022  30.0
5   8    210000000000.0   76518.0  0.000013  0.0003  30.0  
6   8    70000000000.0   27468.0 0.0002   0.000022  30.0
7   8    70000000000.0   27468.0 0.0002   0.000022  30.0
7   9    70000000000.0   27468.0 0.0002   0.000022  30.0
7  10    210000000000.0   76518.0  0.000013  0.0003  30.0  
8  10    70000000000.0   27468.0 0.0002   0.000022  30.0
9  10    70000000000.0   27468.0 0.0002   0.000022  30.0
9  11    70000000000.0   27468.0 0.0002   0.000022  30.0
9  12    210000000000.0   76518.0  0.000013  0.0003  30.0  
10  12     70000000000.0   27468.0 0.0002   0.000022  30.0
11  12     70000000000.0   27468.0 0.0002   0.000022  30.0
11  13    70000000000.0   27468.0 0.0002   0.000022  30.0
13  14    70000000000.0   27468.0 0.0002   0.000022  30.0
11  14    210000000000.0   76518.0  0.000013  0.0003  30.0  
12  14    70000000000.0   27468.0 0.0002   0.000022  30.0
14  16    70000000000.0   27468.0 0.0002   0.000022  30.0
12  16    210000000000.0   76518.0  0.000013  0.0003  30.0  
12  15    70000000000.0   27468.0 0.0002   0.000022  30.0
15  16    70000000000.0   27468.0 0.0002   0.000022  30.0
16  18    70000000000.0   27468.0 0.0002   0.000022  30.0
15  18    210000000000.0   76518.0  0.000013  0.0003  30.0  
15  17    70000000000.0   27468.0 0.0002   0.000022  30.0
17  18    70000000000.0   27468.0 0.0002   0.000022  30.0
18  20    70000000000.0   27468.0 0.0002   0.000022  30.0
17  20    210000000000.0   76518.0  0.000013  0.0003  30.0  
17  19    70000000000.0   27468.0 0.0002   0.000022  30.0
19  20    70000000000.0   27468.0 0.0002   0.000022  30.0
20  22    70000000000.0   27468.0 0.0002   0.000022  30.0
19  22    210000000000.0   76518.0  0.000013  0.0003  30.0  
19  21    70000000000.0   27468.0 0.0002   0.000022  30.0
21  22    70000000000.0   27468.0 0.0002   0.000022  30.0
22  24    70000000000.0   27468.0 0.0002   0.000022  30.0
21  24    210000000000.0   76518.0  0.000013  0.0003  30.0  
21  23    70000000000.0   27468.0 0.0002   0.000022  30.0
23  24    70000000000.0   27468.0 0.0002   0.000022  30.0
24  25    70000000000.0   27468.0 0.0002   0.000022  30.0
23  25    210000000000.0   76518.0  0.000013  0.0003  30.0  
25  2   -6000.0
1   1    0.0
1   2    0.0
2   1    0.0
2   2    0.0
